t 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 jE1600 jE0900 jE1800 jE1000 jE1100 jE1300 jE2000 jE1500 jF0007 jF0008 jO2201 jO2302 jV1716 jV1918 jV0600 jV1200 jV1400 jV2120 
0.88 1.66967e-16 5 0 0 10 10 8.0735e-30 0 0 0 10 0.241954 -5 0.858046 0 3.86247e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 1.66967e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.9 -9.85757e-16 5 0 0 10 10 -6.16298e-33 0 0 0 10 0.285497 -5 0.814503 0 -8.54487e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -9.85757e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.92 2.84495e-16 5 0 0 10 10 2.52066e-30 0 0 0 10 0.333211 -5 0.766789 0 -2.52755e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.84495e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.94 -8.68663e-16 5 0 0 10 10 -5.559e-30 0 0 0 10 0.384344 -5 0.715656 0 -1.49417e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -8.68663e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
0.96 4.02022e-16 5 0 0 10 10 -3.03835e-30 0 0 0 10 0.43809 -5 0.66191 0 4.96022e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 4.02022e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
0.98 5.68122e-17 5 0 0 10 10 5.04131e-30 0 0 0 10 0.4936 -5 0.6064 0 3.32037e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 5.68122e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1 -3.69062e-16 5 0 0 10 10 4.03059e-30 0 0 0 10 0.55 -5 0.55 0 -1.42979e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -3.69062e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.02 -6.33608e-16 5 0 0 10 10 -4.04291e-30 0 0 0 10 0.6064 -5 0.4936 0 -1.38439e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -6.33608e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
1.04 -1.71304e-16 5 0 0 10 10 -5.05364e-30 0 0 0 10 0.66191 -5 0.43809 0 -4.71628e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -1.71304e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.06 2.91434e-16 5 0 0 10 10 -6.06437e-30 0 0 0 10 0.715656 -5 0.384344 0 4.41135e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 2.91434e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.08 -5.37764e-17 5 0 0 10 10 2.01529e-30 0 0 0 10 0.766789 -5 0.333211 0 2.77149e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -5.37764e-17 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.1 4.08961e-16 5 0 0 10 10 1.00457e-30 0 0 0 10 0.814503 -5 0.285497 0 -1.97867e-18 1 -0.0666667 0.933333 -0.0666667 0.933333 10 4.08961e-16 0 0 0 0 0 0 0 0 -1.23062e-28 0 -1.23062e-28 0 0 0 -5e-12 0 0 0
1.12 -7.44196e-16 5 0 0 10 10 -7.0751e-30 0 0 0 10 0.858046 -5 0.241954 0 -1.43928e-17 1 -0.0666667 0.933333 -0.0666667 0.933333 10 -7.44196e-16 0 0 0 0 0 0 0 0 -9.30856e-28 0 -9.30856e-28 0 0 0 -5e-12 0 0 0
