t 1 2 3 jV1 jL1 jL2 
0.00134 8.44328 3.77662 3.77662 -0.00466666 0.00466666 -0.00377662
0.00135 8.09017 3.58191 3.58191 -0.00450826 0.00450826 -0.00358191
0.00136 7.70513 3.37226 3.37226 -0.00433287 0.00433287 -0.00337226
0.00137 7.28969 3.14851 3.14851 -0.00414117 0.00414117 -0.00314851
0.00138 6.84547 2.91155 2.91155 -0.00393392 0.00393392 -0.00291155
0.00139 6.37424 2.6623 2.6623 -0.00371194 0.00371194 -0.0026623
0.0014 5.87785 2.40177 2.40177 -0.00347608 0.00347608 -0.00240177
0.00141 5.35827 2.13098 2.13098 -0.00322728 0.00322728 -0.00213098
0.00142 4.81754 1.85101 1.85101 -0.00296653 0.00296653 -0.00185101
0.00143 4.25779 1.56296 1.56296 -0.00269483 0.00269483 -0.00156296
0.00144 3.68125 1.26798 1.26798 -0.00241327 0.00241327 -0.00126798
0.00145 3.09017 0.967225 0.967225 -0.00212294 0.00212294 -0.000967225
0.00146 2.4869 0.661897 0.661897 -0.001825 0.001825 -0.000661897
0.00147 1.87381 0.353202 0.353202 -0.00152061 0.00152061 -0.000353202
0.00148 1.25333 0.0423605 0.0423605 -0.00121097 0.00121097 -4.23605e-05
0.00149 0.627905 -0.269396 -0.269396 -0.000897301 0.000897301 0.000269396
0.0015 -2.09489e-13 -0.580833 -0.580833 -0.000580833 0.000580833 0.000580833
0.00151 -0.627905 -0.890719 -0.890719 -0.000262814 0.000262814 0.000890719
0.00152 -1.25333 -1.19783 -1.19783 5.55061e-05 -5.55061e-05 0.00119783
0.00153 -1.87381 -1.50094 -1.50094 0.000372874 -0.000372874 0.00150094
0.00154 -2.4869 -1.79886 -1.79886 0.00068804 -0.00068804 0.00179886
0.00155 -3.09017 -2.0904 -2.0904 0.000999766 -0.000999766 0.0020904
0.00156 -3.68125 -2.37442 -2.37442 0.00130682 -0.00130682 0.00237442
0.00157 -4.25779 -2.64979 -2.64979 0.001608 -0.001608 0.00264979
0.00158 -4.81754 -2.91541 -2.91541 0.00190212 -0.00190212 0.00291541
0.00159 -5.35827 -3.17024 -3.17024 0.00218803 -0.00218803 0.00317024
0.0016 -5.87785 -3.41327 -3.41327 0.00246458 -0.00246458 0.00341327
0.00161 -6.37424 -3.64353 -3.64353 0.00273071 -0.00273071 0.00364353
0.00162 -6.84547 -3.86011 -3.86011 0.00298536 -0.00298536 0.00386011
0.00163 -7.28969 -4.06215 -4.06215 0.00322753 -0.00322753 0.00406215
0.00164 -7.70513 -4.24886 -4.24886 0.00345627 -0.00345627 0.00424886
0.00165 -8.09017 -4.41949 -4.41949 0.00367068 -0.00367068 0.00441949
0.00166 -8.44328 -4.57336 -4.57336 0.00386991 -0.00386991 0.00457336
0.00167 -8.76307 -4.70987 -4.70987 0.00405319 -0.00405319 0.00470987
0.00168 -9.04827 -4.82848 -4.82848 0.00421979 -0.00421979 0.00482848
0.00169 -9.29776 -4.9287 -4.9287 0.00436907 -0.00436907 0.0049287
0.0017 -9.51057 -5.01014 -5.01014 0.00450042 -0.00450042 0.00501014
0.00171 -9.68583 -5.07249 -5.07249 0.00461334 -0.00461334 0.00507249
0.00172 -9.82287 -5.11548 -5.11548 0.00470739 -0.00470739 0.00511548
0.00173 -9.92115 -5.13894 -5.13894 0.0047822 -0.0047822 0.00513894
0.00174 -9.98027 -5.14279 -5.14279 0.00483748 -0.00483748 0.00514279
0.00175 -10 -5.12699 -5.12699 0.00487301 -0.00487301 0.00512699
0.00176 -9.98027 -5.09162 -5.09162 0.00488865 -0.00488865 0.00509162
0.00177 -9.92115 -5.0368 -5.0368 0.00488435 -0.00488435 0.0050368
0.00178 -9.82287 -4.96275 -4.96275 0.00486012 -0.00486012 0.00496275
0.00179 -9.68583 -4.86976 -4.86976 0.00481607 -0.00481607 0.00486976
0.0018 -9.51057 -4.75819 -4.75819 0.00475237 -0.00475237 0.00475819
0.00181 -9.29776 -4.62848 -4.62848 0.00466928 -0.00466928 0.00462848
0.00182 -9.04827 -4.48114 -4.48114 0.00456713 -0.00456713 0.00448114
0.00183 -8.76307 -4.31674 -4.31674 0.00444633 -0.00444633 0.00431674
0.00184 -8.44328 -4.13594 -4.13594 0.00430734 -0.00430734 0.00413594
0.00185 -8.09017 -3.93943 -3.93943 0.00415074 -0.00415074 0.00393943
0.00186 -7.70513 -3.72801 -3.72801 0.00397713 -0.00397713 0.00372801
0.00187 -7.28969 -3.50249 -3.50249 0.0037872 -0.0037872 0.00350249
0.00188 -6.84547 -3.26376 -3.26376 0.00358171 -0.00358171 0.00326376
0.00189 -6.37424 -3.01276 -3.01276 0.00336148 -0.00336148 0.00301276
0.0019 -5.87785 -2.75048 -2.75048 0.00312737 -0.00312737 0.00275048
0.00191 -5.35827 -2.47796 -2.47796 0.00288031 -0.00288031 0.00247796
0.00192 -4.81754 -2.19626 -2.19626 0.00262128 -0.00262128 0.00219626
0.00193 -4.25779 -1.90649 -1.90649 0.00235131 -0.00235131 0.00190649
0.00194 -3.68125 -1.60979 -1.60979 0.00207145 -0.00207145 0.00160979
0.00195 -3.09017 -1.30734 -1.30734 0.00178283 -0.00178283 0.00130734
0.00196 -2.4869 -1.00031 -1.00031 0.00148658 -0.00148658 0.00100031
0.00197 -1.87381 -0.689933 -0.689933 0.00118388 -0.00118388 0.000689933
0.00198 -1.25333 -0.377415 -0.377415 0.000875918 -0.000875918 0.000377415
0.00199 -0.627905 -0.0639892 -0.0639892 0.000563916 -0.000563916 6.39892e-05
0.002 1.54974e-13 0.249109 0.249109 0.000249109 -0.000249109 -0.000249109
0.00201 0.627905 0.560647 0.560647 -6.72582e-05 6.72582e-05 -0.000560647
0.00202 1.25333 0.869398 0.869398 -0.000383934 0.000383934 -0.000869398
0.00203 1.87381 1.17415 1.17415 -0.000699665 0.000699665 -0.00117415
0.00204 2.4869 1.47369 1.47369 -0.0010132 0.0010132 -0.00147369
0.00205 3.09017 1.76686 1.76686 -0.00132331 0.00132331 -0.00176686
0.00206 3.68125 2.05249 2.05249 -0.00162876 0.00162876 -0.00205249
0.00207 4.25779 2.32946 2.32946 -0.00192833 0.00192833 -0.00232946
0.00208 4.81754 2.59668 2.59668 -0.00222086 0.00222086 -0.00259668
0.00209 5.35827 2.8531 2.8531 -0.00250517 0.00250517 -0.0028531
0.0021 5.87785 3.0977 3.0977 -0.00278015 0.00278015 -0.0030977
0.00211 6.37424 3.32953 3.32953 -0.00304471 0.00304471 -0.00332953
0.00212 6.84547 3.54768 3.54768 -0.00329779 0.00329779 -0.00354768
0.00213 7.28969 3.75128 3.75128 -0.00353841 0.00353841 -0.00375128
0.00214 7.70513 3.93954 3.93954 -0.0037656 0.0037656 -0.00393954
