t 1 2 3 4 5 6 7 8 9 jL1 jL2 jE11 jO1 jV1 
1.66 -0.979649 -2.93895 -1.59828 -0.707302 -0.892247 -0.979649 -0.290283 5.43334 -3.93895 0.753595 0.000280796 1.79028 1.78449 -0.804844
1.68 -0.97751 -2.93253 -1.59828 -0.707302 -0.870558 -0.97751 -0.304961 5.42824 -3.93253 0.733887 0.00254892 1.79028 1.74112 -0.763605
1.7 -0.974981 -2.92494 -1.59828 -0.707302 -0.848529 -0.974981 -0.319236 5.41856 -3.92494 0.713751 0.00484079 1.79028 1.69706 -0.722077
1.72 -0.972063 -2.91619 -1.59828 -0.707302 -0.82617 -0.972063 -0.3331 5.40425 -3.91619 0.693208 0.00715418 1.79028 1.65234 -0.680276
1.74 -0.968758 -2.90627 -1.59828 -0.707302 -0.803489 -0.968758 -0.346546 5.38527 -3.90627 0.672281 0.00948685 1.79028 1.60698 -0.638221
1.76 -0.965066 -2.8952 -1.59828 -0.707302 -0.780496 -0.965066 -0.359566 5.3616 -3.8952 0.650992 0.0118365 1.79028 1.56099 -0.595927
1.78 -0.960991 -2.88297 -1.59828 -0.707302 -0.757201 -0.960991 -0.372153 5.3332 -3.88297 0.629363 0.0142009 1.79028 1.5144 -0.553411
1.8 -0.956532 -2.8696 -1.59828 -0.707302 -0.733612 -0.956532 -0.384301 5.30004 -3.8696 0.607416 0.0165778 1.79028 1.46722 -0.510691
1.82 -0.951693 -2.85508 -1.59828 -0.707302 -0.709739 -0.951693 -0.396005 5.26211 -3.85508 0.585174 0.0189647 1.79028 1.41948 -0.467785
1.84 -0.946475 -2.83943 -1.59828 -0.707302 -0.685592 -0.946475 -0.407258 5.2194 -3.83943 0.562661 0.0213594 1.79028 1.37118 -0.424708
1.86 -0.940881 -2.82264 -1.59828 -0.707302 -0.66118 -0.940881 -0.418056 5.17188 -3.82264 0.539899 0.0237594 1.79028 1.32236 -0.381479
1.88 -0.934913 -2.80474 -1.59828 -0.707302 -0.636514 -0.934913 -0.428394 5.11955 -3.80474 0.516913 0.0261625 1.79028 1.27303 -0.338114
1.9 -0.928574 -2.78572 -1.59828 -0.707302 -0.611603 -0.928574 -0.438269 5.06242 -3.78572 0.493725 0.0285663 1.79028 1.22321 -0.294632
1.92 -0.921866 -2.7656 -1.59828 -0.707302 -0.586457 -0.921866 -0.447676 5.00048 -3.7656 0.470359 0.0309683 1.79028 1.17291 -0.251049
1.94 -0.914792 -2.74438 -1.59828 -0.707302 -0.561087 -0.914792 -0.456613 4.93375 -3.74438 0.446839 0.0333663 1.79028 1.12217 -0.207383
1.96 -0.907355 -2.72206 -1.59828 -0.707302 -0.535503 -0.907355 -0.465076 4.86223 -3.72206 0.423189 0.0357577 1.79028 1.07101 -0.163652
1.98 -0.899558 -2.69867 -1.59828 -0.707302 -0.509715 -0.899558 -0.473065 4.78595 -3.69867 0.399432 0.0381404 1.79028 1.01943 -0.119873
2 -0.891404 -2.67421 -1.59828 -0.707302 -0.483734 -0.891404 -0.480577 4.70493 -3.67421 0.375592 0.0405117 1.79028 0.967468 -0.0760633
2.02 -0.882898 -2.64869 -1.59828 -0.707302 -0.457569 -0.882898 -0.487611 4.61919 -3.64869 0.351693 0.0428695 1.79028 0.915139 -0.0322408
