t 1 2 3 jV0200 jV0300 
0.00182 0 0.24869 0.754251 0 0
0.001825 0 0.156434 0.750111 0 0
0.00183 0 0.0627905 0.745941 0 0
0.001835 0 -0.0314108 0.741742 0 0
0.00184 0 -0.125333 0.737513 0 0
0.001845 0 -0.218143 0.733255 0 0
0.00185 0 -0.309017 0.728969 0 0
0.001855 0 -0.397148 0.724653 0 0
0.00186 0 -0.481754 0.720309 0 0
0.001865 0 -0.562083 0.715936 0 0
0.00187 0 -0.637424 0.711536 0 0
0.001875 0 -0.707107 0.707107 0 0
0.00188 0 -0.770513 0.70265 0 0
0.001885 0 -0.827081 0.698165 0 0
0.00189 0 -0.876307 0.693653 0 0
0.001895 0 -0.917755 0.689114 0 0
0.0019 0 -0.951057 0.684547 0 0
0.001905 0 -0.975917 0.679953 0 0
0.00191 0 -0.992115 0.675333 0 0
0.001915 0 -0.999507 0.670686 0 0
0.00192 0 -0.998027 0.666012 0 0
0.001925 0 -0.987688 0.661312 0 0
0.00193 0 -0.968583 0.656586 0 0
0.001935 0 -0.940881 0.651834 0 0
0.00194 0 -0.904827 0.647056 0 0
0.001945 0 -0.860742 0.642253 0 0
0.00195 0 -0.809017 0.637424 0 0
0.001955 0 -0.750111 0.63257 0 0
0.00196 0 -0.684547 0.627691 0 0
0.001965 0 -0.612907 0.622788 0 0
0.00197 0 -0.535827 0.61786 0 0
0.001975 0 -0.45399 0.612907 0 0
0.00198 0 -0.368125 0.60793 0 0
0.001985 0 -0.278991 0.60293 0 0
0.00199 0 -0.187381 0.597905 0 0
0.001995 0 -0.0941083 0.592857 0 0
0.002 0 4.82685e-14 0.587785 0 0
0.002005 0 0.0941083 0.58269 0 0
0.00201 0 0.187381 0.577573 0 0
0.002015 0 0.278991 0.572432 0 0
0.00202 0 0.368125 0.567269 0 0
0.002025 0 0.45399 0.562083 0 0
0.00203 0 0.535827 0.556876 0 0
0.002035 0 0.612907 0.551646 0 0
0.00204 0 0.684547 0.546394 0 0
0.002045 0 0.750111 0.541121 0 0
0.00205 0 0.809017 0.535827 0 0
0.002055 0 0.860742 0.530511 0 0
0.00206 0 0.904827 0.525175 0 0
0.002065 0 0.940881 0.519817 0 0
0.00207 0 0.968583 0.51444 0 0
0.002075 0 0.987688 0.509041 0 0
0.00208 0 0.998027 0.503623 0 0
0.002085 0 0.999507 0.498185 0 0
0.00209 0 0.992115 0.492727 0 0
0.002095 0 0.975917 0.48725 0 0
0.0021 0 0.951057 0.481754 0 0
0.002105 0 0.917755 0.476238 0 0
0.00211 0 0.876307 0.470704 0 0
0.002115 0 0.827081 0.465151 0 0
0.00212 0 0.770513 0.45958 0 0
0.002125 0 0.707107 0.45399 0 0
0.00213 0 0.637424 0.448383 0 0
0.002135 0 0.562083 0.442758 0 0
0.00214 0 0.481754 0.437116 0 0
0.002145 0 0.397148 0.431456 0 0
0.00215 0 0.309017 0.425779 0 0
0.002155 0 0.218143 0.420086 0 0
0.00216 0 0.125333 0.414376 0 0
0.002165 0 0.0314108 0.408649 0 0
0.00217 0 -0.0627905 0.402906 0 0
0.002175 0 -0.156434 0.397148 0 0
0.00218 0 -0.24869 0.391374 0 0
0.002185 0 -0.338738 0.385584 0 0
0.00219 0 -0.425779 0.379779 0 0
0.002195 0 -0.509041 0.373959 0 0
0.0022 0 -0.587785 0.368125 0 0
0.002205 0 -0.661312 0.362275 0 0
0.00221 0 -0.728969 0.356412 0 0
0.002215 0 -0.790155 0.350534 0 0
0.00222 0 -0.844328 0.344643 0 0
0.002225 0 -0.891007 0.338738 0 0
0.00223 0 -0.929776 0.33282 0 0
0.002235 0 -0.960294 0.326888 0 0
0.00224 0 -0.982287 0.320944 0 0
0.002245 0 -0.995562 0.314987 0 0
0.00225 0 -1 0.309017 0 0
0.002255 0 -0.995562 0.303035 0 0
0.00226 0 -0.982287 0.297042 0 0
0.002265 0 -0.960294 0.291036 0 0
0.00227 0 -0.929776 0.285019 0 0
0.002275 0 -0.891007 0.278991 0 0
0.00228 0 -0.844328 0.272952 0 0
0.002285 0 -0.790155 0.266902 0 0
0.00229 0 -0.728969 0.260842 0 0
0.002295 0 -0.661312 0.254771 0 0
0.0023 0 -0.587785 0.24869 0 0
0.002305 0 -0.509041 0.242599 0 0
0.00231 0 -0.425779 0.236499 0 0
0.002315 0 -0.338738 0.230389 0 0
0.00232 0 -0.24869 0.224271 0 0
0.002325 0 -0.156434 0.218143 0 0
0.00233 0 -0.0627905 0.212007 0 0
0.002335 0 0.0314108 0.205863 0 0
0.00234 0 0.125333 0.19971 0 0
0.002345 0 0.218143 0.193549 0 0
0.00235 0 0.309017 0.187381 0 0
0.002355 0 0.397148 0.181206 0 0
0.00236 0 0.481754 0.175023 0 0
0.002365 0 0.562083 0.168833 0 0
0.00237 0 0.637424 0.162637 0 0
0.002375 0 0.707107 0.156434 0 0
0.00238 0 0.770513 0.150226 0 0
0.002385 0 0.827081 0.144011 0 0
0.00239 0 0.876307 0.13779 0 0
0.002395 0 0.917755 0.131564 0 0
0.0024 0 0.951057 0.125333 0 0
0.002405 0 0.975917 0.119097 0 0
0.00241 0 0.992115 0.112856 0 0
0.002415 0 0.999507 0.106611 0 0
0.00242 0 0.998027 0.100362 0 0
0.002425 0 0.987688 0.0941083 0 0
0.00243 0 0.968583 0.0878512 0 0
0.002435 0 0.940881 0.0815906 0 0
0.00244 0 0.904827 0.0753268 0 0
0.002445 0 0.860742 0.06906 0 0
0.00245 0 0.809017 0.0627905 0 0
0.002455 0 0.750111 0.0565185 0 0
0.00246 0 0.684547 0.0502443 0 0
0.002465 0 0.612907 0.0439681 0 0
0.00247 0 0.535827 0.0376902 0 0
0.002475 0 0.45399 0.0314108 0 0
0.00248 0 0.368125 0.0251301 0 0
0.002485 0 0.278991 0.0188484 0 0
0.00249 0 0.187381 0.012566 0 0
0.002495 0 0.0941083 0.00628314 0 0
0.0025 0 3.39345e-13 2.23269e-14 0 0
0.002505 0 -0.0941083 -0.00628314 0 0
0.00251 0 -0.187381 -0.012566 0 0
0.002515 0 -0.278991 -0.0188484 0 0
0.00252 0 -0.368125 -0.0251301 0 0
0.002525 0 -0.45399 -0.0314108 0 0
0.00253 0 -0.535827 -0.0376902 0 0
0.002535 0 -0.612907 -0.0439681 0 0
0.00254 0 -0.684547 -0.0502443 0 0
0.002545 0 -0.750111 -0.0565185 0 0
0.00255 0 -0.809017 -0.0627905 0 0
0.002555 0 -0.860742 -0.06906 0 0
0.00256 0 -0.904827 -0.0753268 0 0
0.002565 0 -0.940881 -0.0815906 0 0
0.00257 0 -0.968583 -0.0878512 0 0
0.002575 0 -0.987688 -0.0941083 0 0
0.00258 0 -0.998027 -0.100362 0 0
0.002585 0 -0.999507 -0.106611 0 0
0.00259 0 -0.992115 -0.112856 0 0
0.002595 0 -0.975917 -0.119097 0 0
0.0026 0 -0.951057 -0.125333 0 0
0.002605 0 -0.917755 -0.131564 0 0
0.00261 0 -0.876307 -0.13779 0 0
0.002615 0 -0.827081 -0.144011 0 0
0.00262 0 -0.770513 -0.150226 0 0
0.002625 0 -0.707107 -0.156434 0 0
0.00263 0 -0.637424 -0.162637 0 0
0.002635 0 -0.562083 -0.168833 0 0
0.00264 0 -0.481754 -0.175023 0 0
0.002645 0 -0.397148 -0.181206 0 0
0.00265 0 -0.309017 -0.187381 0 0
0.002655 0 -0.218143 -0.193549 0 0
0.00266 0 -0.125333 -0.19971 0 0
0.002665 0 -0.0314108 -0.205863 0 0
0.00267 0 0.0627905 -0.212007 0 0
0.002675 0 0.156434 -0.218143 0 0
0.00268 0 0.24869 -0.224271 0 0
0.002685 0 0.338738 -0.230389 0 0
0.00269 0 0.425779 -0.236499 0 0
0.002695 0 0.509041 -0.242599 0 0
0.0027 0 0.587785 -0.24869 0 0
0.002705 0 0.661312 -0.254771 0 0
0.00271 0 0.728969 -0.260842 0 0
0.002715 0 0.790155 -0.266902 0 0
0.00272 0 0.844328 -0.272952 0 0
0.002725 0 0.891007 -0.278991 0 0
0.00273 0 0.929776 -0.285019 0 0
0.002735 0 0.960294 -0.291036 0 0
0.00274 0 0.982287 -0.297042 0 0
0.002745 0 0.995562 -0.303035 0 0
0.00275 0 1 -0.309017 0 0
0.002755 0 0.995562 -0.314987 0 0
0.00276 0 0.982287 -0.320944 0 0
0.002765 0 0.960294 -0.326888 0 0
0.00277 0 0.929776 -0.33282 0 0
0.002775 0 0.891007 -0.338738 0 0
0.00278 0 0.844328 -0.344643 0 0
0.002785 0 0.790155 -0.350534 0 0
0.00279 0 0.728969 -0.356412 0 0
0.002795 0 0.661312 -0.362275 0 0
0.0028 0 0.587785 -0.368125 0 0
0.002805 0 0.509041 -0.373959 0 0
0.00281 0 0.425779 -0.379779 0 0
0.002815 0 0.338738 -0.385584 0 0
0.00282 0 0.24869 -0.391374 0 0
0.002825 0 0.156434 -0.397148 0 0
0.00283 0 0.0627905 -0.402906 0 0
0.002835 0 -0.0314108 -0.408649 0 0
0.00284 0 -0.125333 -0.414376 0 0
0.002845 0 -0.218143 -0.420086 0 0
0.00285 0 -0.309017 -0.425779 0 0
0.002855 0 -0.397148 -0.431456 0 0
0.00286 0 -0.481754 -0.437116 0 0
0.002865 0 -0.562083 -0.442758 0 0
0.00287 0 -0.637424 -0.448383 0 0
0.002875 0 -0.707107 -0.45399 0 0
0.00288 0 -0.770513 -0.45958 0 0
0.002885 0 -0.827081 -0.465151 0 0
0.00289 0 -0.876307 -0.470704 0 0
0.002895 0 -0.917755 -0.476238 0 0
0.0029 0 -0.951057 -0.481754 0 0
0.002905 0 -0.975917 -0.48725 0 0
0.00291 0 -0.992115 -0.492727 0 0
0.002915 0 -0.999507 -0.498185 0 0
0.00292 0 -0.998027 -0.503623 0 0
0.002925 0 -0.987688 -0.509041 0 0
0.00293 0 -0.968583 -0.51444 0 0
0.002935 0 -0.940881 -0.519817 0 0
0.00294 0 -0.904827 -0.525175 0 0
0.002945 0 -0.860742 -0.530511 0 0
0.00295 0 -0.809017 -0.535827 0 0
0.002955 0 -0.750111 -0.541121 0 0
0.00296 0 -0.684547 -0.546394 0 0
0.002965 0 -0.612907 -0.551646 0 0
0.00297 0 -0.535827 -0.556876 0 0
0.002975 0 -0.45399 -0.562083 0 0
0.00298 0 -0.368125 -0.567269 0 0
0.002985 0 -0.278991 -0.572432 0 0
0.00299 0 -0.187381 -0.577573 0 0
0.002995 0 -0.0941083 -0.58269 0 0
0.003 0 -7.19852e-13 -0.587785 0 0
0.003005 0 0.0941083 -0.592857 0 0
0.00301 0 0.187381 -0.597905 0 0
0.003015 0 0.278991 -0.60293 0 0
0.00302 0 0.368125 -0.60793 0 0
0.003025 0 0.45399 -0.612907 0 0
0.00303 0 0.535827 -0.61786 0 0
0.003035 0 0.612907 -0.622788 0 0
0.00304 0 0.684547 -0.627691 0 0
0.003045 0 0.750111 -0.63257 0 0
0.00305 0 0.809017 -0.637424 0 0
0.003055 0 0.860742 -0.642253 0 0
0.00306 0 0.904827 -0.647056 0 0
0.003065 0 0.940881 -0.651834 0 0
0.00307 0 0.968583 -0.656586 0 0
0.003075 0 0.987688 -0.661312 0 0
0.00308 0 0.998027 -0.666012 0 0
0.003085 0 0.999507 -0.670686 0 0
0.00309 0 0.992115 -0.675333 0 0
0.003095 0 0.975917 -0.679953 0 0
0.0031 0 0.951057 -0.684547 0 0
0.003105 0 0.917755 -0.689114 0 0
0.00311 0 0.876307 -0.693653 0 0
0.003115 0 0.827081 -0.698165 0 0
0.00312 0 0.770513 -0.70265 0 0
0.003125 0 0.707107 -0.707107 0 0
0.00313 0 0.637424 -0.711536 0 0
0.003135 0 0.562083 -0.715936 0 0
0.00314 0 0.481754 -0.720309 0 0
0.003145 0 0.397148 -0.724653 0 0
0.00315 0 0.309017 -0.728969 0 0
0.003155 0 0.218143 -0.733255 0 0
0.00316 0 0.125333 -0.737513 0 0
0.003165 0 0.0314108 -0.741742 0 0
0.00317 0 -0.0627905 -0.745941 0 0
0.003175 0 -0.156434 -0.750111 0 0
0.00318 0 -0.24869 -0.754251 0 0
0.003185 0 -0.338738 -0.758362 0 0
0.00319 0 -0.425779 -0.762443 0 0
0.003195 0 -0.509041 -0.766493 0 0
0.0032 0 -0.587785 -0.770513 0 0
0.003205 0 -0.661312 -0.774503 0 0
0.00321 0 -0.728969 -0.778462 0 0
0.003215 0 -0.790155 -0.782391 0 0
0.00322 0 -0.844328 -0.786288 0 0
0.003225 0 -0.891007 -0.790155 0 0
0.00323 0 -0.929776 -0.79399 0 0
0.003235 0 -0.960294 -0.797794 0 0
