t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
1.05e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.06e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.07e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.08e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.09e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.1e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.11e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.12e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.13e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.14e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.15e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.16e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.17e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.18e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.19e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.2e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.21e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.22e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.23e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.24e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.25e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.26e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.27e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.28e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.29e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.3e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.31e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.32e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.33e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.34e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.35e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.36e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.37e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.38e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.39e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.4e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.41e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.42e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.43e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.44e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.45e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.46e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.47e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.48e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.49e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.5e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.51e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.52e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.53e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.54e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.55e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.56e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.57e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.58e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.59e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.6e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.61e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.62e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.63e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.64e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.65e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.66e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.67e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.68e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.69e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.7e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.71e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.72e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.73e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.74e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.75e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.76e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.77e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.78e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.79e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.8e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
1.81e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
