t 1 2 3 jL1 jL2 jV0300 
1.87e-06 8101.87 -5924.85 10000 -65.0815 -37.4966 65.0815
1.88e-06 8162.19 -5318.35 10000 -56.4117 -38.2369 56.4117
1.89e-06 8213.82 -4700.32 10000 -47.7131 -38.9403 47.7131
1.9e-06 8256.74 -4071.37 10000 -38.9951 -39.6055 38.9951
1.91e-06 8290.93 -3432.12 10000 -30.2673 -40.2315 30.2673
1.92e-06 8316.4 -2783.2 10000 -21.5391 -40.8172 21.5391
1.93e-06 8333.14 -2125.28 10000 -12.8201 -41.3617 12.8201
1.94e-06 8341.18 -1459.02 10000 -4.11953 -41.8639 4.11953
1.95e-06 8340.52 -785.099 10000 4.55311 -42.3229 -4.55311
1.96e-06 8331.22 -104.222 10000 13.1886 -42.7379 -13.1886
1.97e-06 8313.3 582.902 10000 21.7776 -43.1081 -21.7776
1.98e-06 8286.82 1275.55 10000 30.3111 -43.4326 -30.3111
1.99e-06 8251.85 1972.98 10000 38.78 -43.7107 -38.78
2e-06 8208.45 2674.45 10000 47.1754 -43.9418 -47.1754
2.01e-06 8156.69 3379.19 10000 55.4883 -44.1252 -55.4883
2.02e-06 8096.67 4086.45 10000 63.7102 -44.2603 -63.7102
2.03e-06 8028.49 4795.44 10000 71.8323 -44.3467 -71.8323
2.04e-06 7952.24 5505.38 10000 79.8464 -44.3839 -79.8464
2.05e-06 7868.04 6215.48 10000 87.744 -44.3714 -87.744
2.06e-06 7776.01 6924.94 10000 95.517 -44.309 -95.517
2.07e-06 7676.28 7632.95 10000 103.157 -44.1963 -103.157
2.08e-06 7568.98 8338.73 10000 110.658 -44.0331 -110.658
2.09e-06 7454.27 9041.44 10000 118.01 -43.8192 -118.01
2.1e-06 7332.29 9740.28 10000 125.207 -43.5545 -125.207
2.11e-06 7203.2 10434.4 10000 132.241 -43.239 -132.241
2.12e-06 7067.17 11123.1 10000 139.106 -42.8726 -139.106
2.13e-06 6924.37 11805.5 10000 145.794 -42.4554 -145.794
2.14e-06 6774.98 12480.7 10000 152.299 -41.9876 -152.299
2.15e-06 6619.19 13148 10000 158.615 -41.4693 -158.615
