t 1 2 3 jL1 jL2 jV0300 
2.263e-05 -8334 -2810.02 10000 -59.5723 21.7768 59.5723
2.264e-05 -8269.78 -3160.18 10000 -68.0107 21.9696 68.0107
2.265e-05 -8197.17 -3513.19 10000 -76.3616 22.1364 76.3616
2.266e-05 -8116.26 -3868.64 10000 -84.6161 22.2768 84.6161
2.267e-05 -8027.15 -4226.11 10000 -92.7658 22.3901 92.7658
2.268e-05 -7929.96 -4585.14 10000 -100.802 22.4759 100.802
2.269e-05 -7824.79 -4945.3 10000 -108.717 22.5338 108.717
2.27e-05 -7711.78 -5306.14 10000 -116.501 22.5632 116.501
2.271e-05 -7591.06 -5667.19 10000 -124.148 22.5639 124.148
2.272e-05 -7462.78 -6028 10000 -131.648 22.5354 131.648
2.273e-05 -7327.08 -6388.1 10000 -138.995 22.4775 138.995
2.274e-05 -7184.12 -6747.01 10000 -146.181 22.3899 146.181
2.275e-05 -7034.06 -7104.25 10000 -153.198 22.2723 153.198
2.276e-05 -6877.09 -7459.35 10000 -160.04 22.1245 160.04
2.277e-05 -6713.37 -7811.81 10000 -166.699 21.9463 166.699
2.278e-05 -6543.09 -8161.16 10000 -173.169 21.7377 173.169
2.279e-05 -6366.46 -8506.9 10000 -179.443 21.4986 179.443
2.28e-05 -6183.66 -8848.54 10000 -185.515 21.2289 185.515
2.281e-05 -5994.9 -9185.6 10000 -191.378 20.9286 191.378
2.282e-05 -5800.4 -9517.59 10000 -197.028 20.5977 197.028
2.283e-05 -5600.37 -9844.01 10000 -202.458 20.2365 202.458
2.284e-05 -5395.03 -10164.4 10000 -207.664 19.8448 207.664
2.285e-05 -5184.61 -10478.2 10000 -212.639 19.423 212.639
2.286e-05 -4969.34 -10785.1 10000 -217.38 18.9713 217.38
2.287e-05 -4749.46 -11084.4 10000 -221.881 18.4898 221.881
2.288e-05 -4525.22 -11375.8 10000 -226.139 17.9789 226.139
2.289e-05 -4296.85 -11658.7 10000 -230.15 17.439 230.15
2.29e-05 -4064.62 -11932.8 10000 -233.909 16.8703 233.909
2.291e-05 -3828.76 -12197.5 10000 -237.414 16.2734 237.414
2.292e-05 -3589.54 -12452.4 10000 -240.661 15.6486 240.661
2.293e-05 -3347.21 -12697.1 10000 -243.647 14.9965 243.647
2.294e-05 -3102.05 -12931.1 10000 -246.37 14.3175 246.37
2.295e-05 -2854.3 -13154 10000 -248.827 13.6124 248.827
2.296e-05 -2604.25 -13365.4 10000 -251.017 12.8817 251.017
2.297e-05 -2352.15 -13564.9 10000 -252.938 12.126 252.938
2.298e-05 -2098.29 -13752.1 10000 -254.588 11.3461 254.588
2.299e-05 -1842.92 -13926.6 10000 -255.966 10.5427 255.966
2.3e-05 -1586.32 -14088 10000 -257.072 9.7165 257.072
2.301e-05 -1328.77 -14236 10000 -257.905 8.86839 257.905
2.302e-05 -1070.53 -14370.3 10000 -258.465 7.99919 258.465
2.303e-05 -811.889 -14490.5 10000 -258.752 7.10977 258.752
2.304e-05 -553.107 -14596.3 10000 -258.766 6.20103 258.766
2.305e-05 -294.461 -14687.4 10000 -258.508 5.27393 258.508
2.306e-05 -36.2216 -14763.5 10000 -257.979 4.32943 257.979
2.307e-05 221.34 -14824.3 10000 -257.18 3.36854 257.18
2.308e-05 477.956 -14869.6 10000 -256.113 2.39229 256.113
2.309e-05 733.358 -14899.2 10000 -254.78 1.40175 254.78
2.31e-05 987.282 -14912.8 10000 -253.183 0.397992 253.183
2.311e-05 1239.46 -14910.3 10000 -251.324 -0.617857 251.324
2.312e-05 1489.64 -14891.4 10000 -249.207 -1.64466 249.207
2.313e-05 1737.57 -14855.9 10000 -246.833 -2.68126 246.833
2.314e-05 1982.98 -14803.8 10000 -244.206 -3.72647 244.206
2.315e-05 2225.62 -14735 10000 -241.33 -4.77908 241.33
2.316e-05 2465.25 -14649.2 10000 -238.209 -5.83787 238.209
2.317e-05 2701.63 -14546.4 10000 -234.846 -6.9016 234.846
2.318e-05 2934.52 -14426.6 10000 -231.246 -7.96902 231.246
2.319e-05 3163.67 -14289.7 10000 -227.413 -9.03884 227.413
2.32e-05 3388.87 -14135.7 10000 -223.353 -10.1098 223.353
2.321e-05 3609.89 -13964.5 10000 -219.07 -11.1806 219.07
2.322e-05 3826.5 -13776.2 10000 -214.569 -12.2499 214.569
2.323e-05 4038.49 -13570.8 10000 -209.856 -13.3164 209.856
2.324e-05 4245.66 -13348.4 10000 -204.937 -14.3787 204.937
2.325e-05 4447.8 -13109 10000 -199.818 -15.4357 199.818
2.326e-05 4644.71 -12852.8 10000 -194.503 -16.4858 194.503
2.327e-05 4836.2 -12579.8 10000 -189.001 -17.5279 189.001
2.328e-05 5022.09 -12290.3 10000 -183.318 -18.5605 183.318
2.329e-05 5202.2 -11984.3 10000 -177.459 -19.5823 177.459
2.33e-05 5376.36 -11662.1 10000 -171.432 -20.592 171.432
2.331e-05 5544.4 -11323.8 10000 -165.244 -21.5883 165.244
2.332e-05 5706.17 -10969.7 10000 -158.902 -22.5699 158.902
2.333e-05 5861.52 -10600.1 10000 -152.414 -23.5354 152.414
2.334e-05 6010.3 -10215.2 10000 -145.786 -24.4835 145.786
2.335e-05 6152.37 -9815.24 10000 -139.026 -25.413 139.026
2.336e-05 6287.62 -9400.6 10000 -132.143 -26.3226 132.143
2.337e-05 6415.93 -8971.59 10000 -125.143 -27.2111 125.143
2.338e-05 6537.17 -8528.56 10000 -118.036 -28.0771 118.036
2.339e-05 6651.25 -8071.88 10000 -110.827 -28.9194 110.827
2.34e-05 6758.07 -7601.94 10000 -103.527 -29.7369 103.527
2.341e-05 6857.54 -7119.15 10000 -96.1429 -30.5284 96.1429
2.342e-05 6949.59 -6623.93 10000 -88.6828 -31.2927 88.6828
2.343e-05 7034.13 -6116.73 10000 -81.1552 -32.0287 81.1552
2.344e-05 7111.12 -5598.02 10000 -73.5685 -32.7353 73.5685
2.345e-05 7180.49 -5068.26 10000 -65.9309 -33.4113 65.9309
2.346e-05 7242.2 -4527.97 10000 -58.251 -34.0558 58.251
2.347e-05 7296.21 -3977.65 10000 -50.5371 -34.6677 50.5371
2.348e-05 7342.5 -3417.83 10000 -42.7976 -35.246 42.7976
2.349e-05 7381.03 -2849.06 10000 -35.041 -35.7898 35.041
2.35e-05 7411.8 -2271.91 10000 -27.2758 -36.2981 27.2758
2.351e-05 7434.8 -1686.94 10000 -19.5102 -36.7701 19.5102
2.352e-05 7450.05 -1094.74 10000 -11.7527 -37.205 11.7527
2.353e-05 7457.54 -495.916 10000 -4.01168 -37.6018 4.01168
2.354e-05 7457.3 108.916 10000 3.70466 -37.9599 -3.70466
2.355e-05 7449.37 719.131 10000 11.3881 -38.2785 -11.3881
2.356e-05 7433.78 1334.09 10000 19.0304 -38.557 -19.0304
2.357e-05 7410.57 1953.15 10000 26.6234 -38.7947 -26.6234
2.358e-05 7379.79 2575.65 10000 34.1593 -38.9909 -34.1593
2.359e-05 7341.52 3200.92 10000 41.6299 -39.1453 -41.6299
2.36e-05 7295.81 3828.28 10000 49.0276 -39.2572 -49.0276
2.361e-05 7242.75 4457.06 10000 56.3446 -39.3262 -56.3446
2.362e-05 7182.43 5086.56 10000 63.5733 -39.3518 -63.5733
2.363e-05 7114.92 5716.09 10000 70.7062 -39.3339 -70.7062
2.364e-05 7040.34 6344.95 10000 77.736 -39.2719 -77.736
2.365e-05 6958.79 6972.42 10000 84.6555 -39.1657 -84.6555
2.366e-05 6870.38 7597.8 10000 91.4576 -39.0151 -91.4576
2.367e-05 6775.24 8220.39 10000 98.1353 -38.8198 -98.1353
2.368e-05 6673.49 8839.45 10000 104.682 -38.5799 -104.682
2.369e-05 6565.28 9454.28 10000 111.091 -38.2952 -111.091
2.37e-05 6450.73 10064.2 10000 117.356 -37.9658 -117.356
2.371e-05 6329.99 10668.4 10000 123.471 -37.5916 -123.471
2.372e-05 6203.23 11266.2 10000 129.43 -37.1729 -129.43
2.373e-05 6070.6 11857 10000 135.227 -36.7097 -135.227
2.374e-05 5932.26 12439.9 10000 140.856 -36.2024 -140.856
2.375e-05 5788.39 13014.4 10000 146.312 -35.651 -146.312
2.376e-05 5639.16 13579.6 10000 151.589 -35.0561 -151.589
2.377e-05 5484.76 14134.9 10000 156.684 -34.4179 -156.684
2.378e-05 5325.36 14679.7 10000 161.59 -33.7369 -161.59
2.379e-05 5161.16 15213.2 10000 166.304 -33.0135 -166.304
2.38e-05 4992.36 15734.7 10000 170.82 -32.2483 -170.82
2.381e-05 4819.15 16243.6 10000 175.136 -31.4419 -175.136
2.382e-05 4641.73 16739.3 10000 179.247 -30.5949 -179.247
2.383e-05 4460.32 17221.1 10000 183.15 -29.708 -183.15
2.384e-05 4275.12 17688.3 10000 186.84 -28.7819 -186.84
2.385e-05 4086.35 18140.4 10000 190.316 -27.8175 -190.316
2.386e-05 3894.23 18576.7 10000 193.574 -26.8155 -193.574
2.387e-05 3698.96 18996.6 10000 196.612 -25.7769 -196.612
2.388e-05 3500.78 19399.7 10000 199.428 -24.7026 -199.428
2.389e-05 3299.91 19785.2 10000 202.018 -23.5935 -202.018
2.39e-05 3096.58 20152.7 10000 204.382 -22.4508 -204.382
2.391e-05 2891 20501.6 10000 206.518 -21.2755 -206.518
2.392e-05 2683.41 20831.4 10000 208.425 -20.0686 -208.425
2.393e-05 2474.05 21141.7 10000 210.101 -18.8314 -210.101
2.394e-05 2263.14 21431.9 10000 211.545 -17.5651 -211.545
2.395e-05 2050.9 21701.6 10000 212.758 -16.271 -212.758
2.396e-05 1837.59 21950.3 10000 213.739 -14.9502 -213.739
2.397e-05 1623.42 22177.7 10000 214.488 -13.6041 -214.488
2.398e-05 1408.62 22383.3 10000 215.005 -12.2341 -215.005
2.399e-05 1193.44 22566.9 10000 215.291 -10.8416 -215.291
2.4e-05 978.102 22727.9 10000 215.347 -9.42806 -215.347
2.401e-05 762.832 22866.2 10000 215.173 -7.99485 -215.173
2.402e-05 547.862 22981.3 10000 214.77 -6.5435 -214.77
2.403e-05 333.419 23073.1 10000 214.141 -5.07553 -214.141
2.404e-05 119.729 23141.3 10000 213.287 -3.5925 -213.287
2.405e-05 -92.9845 23185.6 10000 212.211 -2.09597 -212.211
2.406e-05 -304.5 23205.9 10000 210.913 -0.587558 -210.913
2.407e-05 -514.597 23202 10000 209.397 0.931129 -209.397
2.408e-05 -723.06 23173.6 10000 207.666 2.45844 -207.666
2.409e-05 -929.675 23120.8 10000 205.723 3.99273 -205.723
2.41e-05 -1134.23 23043.4 10000 203.57 5.5323 -203.57
2.411e-05 -1336.52 22941.3 10000 201.211 7.07546 -201.211
2.412e-05 -1536.34 22814.5 10000 198.65 8.62052 -198.65
2.413e-05 -1733.49 22663 10000 195.89 10.1658 -195.89
2.414e-05 -1927.77 22486.7 10000 192.936 11.7094 -192.936
2.415e-05 -2118.99 22285.8 10000 189.792 13.2498 -189.792
2.416e-05 -2306.97 22060.3 10000 186.462 14.7852 -186.462
2.417e-05 -2491.51 21810.3 10000 182.951 16.3138 -182.951
2.418e-05 -2672.45 21535.9 10000 179.263 17.8339 -179.263
2.419e-05 -2849.6 21237.2 10000 175.404 19.3437 -175.404
2.42e-05 -3022.81 20914.5 10000 171.378 20.8415 -171.378
2.421e-05 -3191.9 20568 10000 167.191 22.3257 -167.191
2.422e-05 -3356.71 20197.8 10000 162.849 23.7943 -162.849
2.423e-05 -3517.1 19804.3 10000 158.357 25.2458 -158.357
2.424e-05 -3672.92 19387.7 10000 153.72 26.6784 -153.72
2.425e-05 -3824.02 18948.4 10000 148.945 28.0904 -148.945
2.426e-05 -3970.28 18486.7 10000 144.038 29.4801 -144.038
2.427e-05 -4111.56 18003 10000 139.004 30.846 -139.004
2.428e-05 -4247.74 17497.6 10000 133.851 32.1862 -133.851
2.429e-05 -4378.7 16971.1 10000 128.583 33.4993 -128.583
2.43e-05 -4504.34 16423.7 10000 123.209 34.7836 -123.209
2.431e-05 -4624.55 15856.1 10000 117.733 36.0375 -117.733
2.432e-05 -4739.22 15268.7 10000 112.164 37.2595 -112.164
2.433e-05 -4848.28 14662.1 10000 106.507 38.4481 -106.507
2.434e-05 -4951.64 14036.7 10000 100.769 39.6017 -100.769
2.435e-05 -5049.22 13393.2 10000 94.9575 40.719 -94.9575
2.436e-05 -5140.95 12732.1 10000 89.0787 41.7984 -89.0787
2.437e-05 -5226.77 12054.1 10000 83.1397 42.8387 -83.1397
2.438e-05 -5306.61 11359.9 10000 77.1474 43.8385 -77.1474
2.439e-05 -5380.44 10650 10000 71.1088 44.7964 -71.1088
2.44e-05 -5448.21 9925.13 10000 65.0307 45.7112 -65.0307
2.441e-05 -5509.88 9186.03 10000 58.9202 46.5816 -58.9202
2.442e-05 -5565.43 8433.4 10000 52.7842 47.4066 -52.7842
2.443e-05 -5614.83 7667.98 10000 46.6297 48.1849 -46.6297
2.444e-05 -5658.07 6890.53 10000 40.4636 48.9154 -40.4636
2.445e-05 -5695.14 6101.82 10000 34.2929 49.5972 -34.2929
2.446e-05 -5726.04 5302.64 10000 28.1243 50.2293 -28.1243
2.447e-05 -5750.78 4493.79 10000 21.9648 50.8106 -21.9648
2.448e-05 -5769.36 3676.09 10000 15.8212 51.3404 -15.8212
2.449e-05 -5781.81 2850.37 10000 9.70017 51.8177 -9.70017
2.45e-05 -5788.16 2017.48 10000 3.6084 52.2419 -3.6084
2.451e-05 -5788.43 1178.28 10000 -2.4475 52.6122 2.4475
2.452e-05 -5782.68 333.637 10000 -8.46101 52.9279 8.46101
2.453e-05 -5770.93 -515.577 10000 -14.4257 53.1885 14.4257
2.454e-05 -5753.25 -1368.47 10000 -20.3352 53.3934 20.3352
2.455e-05 -5729.69 -2224.15 10000 -26.1832 53.5421 26.1832
2.456e-05 -5700.32 -3081.71 10000 -31.9637 53.6342 31.9637
2.457e-05 -5665.22 -3940.24 10000 -37.6705 53.6694 37.6705
2.458e-05 -5624.44 -4798.83 10000 -43.2978 53.6473 43.2978
2.459e-05 -5578.09 -5656.56 10000 -48.8398 53.5677 48.8398
2.46e-05 -5526.24 -6512.51 10000 -54.2909 53.4305 54.2909
2.461e-05 -5469 -7365.76 10000 -59.6454 53.2355 59.6454
2.462e-05 -5406.46 -8215.38 10000 -64.8981 52.9827 64.8981
2.463e-05 -5338.72 -9060.45 10000 -70.0437 52.6722 70.0437
2.464e-05 -5265.9 -9900.04 10000 -75.0772 52.3039 75.0772
2.465e-05 -5188.11 -10733.2 10000 -79.9936 51.8781 79.9936
2.466e-05 -5105.47 -11559.1 10000 -84.7882 51.395 84.7882
2.467e-05 -5018.1 -12376.7 10000 -89.4564 50.8549 89.4564
2.468e-05 -4926.14 -13185.2 10000 -93.9937 50.258 93.9937
2.469e-05 -4829.71 -13983.7 10000 -98.3961 49.6049 98.3961
2.47e-05 -4728.96 -14771.2 10000 -102.659 48.896 102.659
2.471e-05 -4624.02 -15546.9 10000 -106.78 48.1318 106.78
2.472e-05 -4515.04 -16309.9 10000 -110.754 47.313 110.754
2.473e-05 -4402.17 -17059.3 10000 -114.577 46.4402 114.577
2.474e-05 -4285.56 -17794.2 10000 -118.248 45.5141 118.248
2.475e-05 -4165.37 -18513.9 10000 -121.762 44.5356 121.762
2.476e-05 -4041.75 -19217.5 10000 -125.116 43.5054 125.116
2.477e-05 -3914.87 -19904.1 10000 -128.309 42.4245 128.309
2.478e-05 -3784.88 -20573 10000 -131.337 41.294 131.337
2.479e-05 -3651.95 -21223.4 10000 -134.198 40.1147 134.198
2.48e-05 -3516.26 -21854.5 10000 -136.891 38.8878 136.891
2.481e-05 -3377.97 -22465.6 10000 -139.413 37.6145 139.413
2.482e-05 -3237.25 -23055.9 10000 -141.762 36.2959 141.762
2.483e-05 -3094.28 -23624.7 10000 -143.938 34.9334 143.938
2.484e-05 -2949.22 -24171.3 10000 -145.939 33.5281 145.939
2.485e-05 -2802.26 -24695.1 10000 -147.765 32.0816 147.765
2.486e-05 -2653.58 -25195.4 10000 -149.413 30.5951 149.413
2.487e-05 -2503.34 -25671.5 10000 -150.884 29.0702 150.884
2.488e-05 -2351.73 -26122.9 10000 -152.178 27.5084 152.178
2.489e-05 -2198.93 -26549.1 10000 -153.293 25.9113 153.293
2.49e-05 -2045.1 -26949.3 10000 -154.231 24.2804 154.231
2.491e-05 -1890.44 -27323.2 10000 -154.992 22.6173 154.992
2.492e-05 -1735.11 -27670.2 10000 -155.575 20.9239 155.575
2.493e-05 -1579.3 -27989.9 10000 -155.983 19.2017 155.983
2.494e-05 -1423.17 -28281.8 10000 -156.214 17.4526 156.214
2.495e-05 -1266.91 -28545.4 10000 -156.272 15.6784 156.272
2.496e-05 -1110.69 -28780.5 10000 -156.156 13.8808 156.156
2.497e-05 -954.676 -28986.6 10000 -155.869 12.0619 155.869
2.498e-05 -799.045 -29163.4 10000 -155.412 10.2234 155.412
2.499e-05 -643.963 -29310.7 10000 -154.787 8.36726 154.787
2.5e-05 -489.597 -29428.1 10000 -153.996 6.49548 153.996
2.501e-05 -336.113 -29515.5 10000 -153.041 4.61002 153.041
2.502e-05 -183.673 -29572.6 10000 -151.925 2.71286 151.925
2.503e-05 -32.4366 -29599.2 10000 -150.65 0.80602 150.65
2.504e-05 117.439 -29595.3 10000 -149.219 -1.10847 149.219
2.505e-05 265.798 -29560.6 10000 -147.634 -3.02856 147.634
2.506e-05 412.491 -29495.2 10000 -145.9 -4.95219 145.9
2.507e-05 557.369 -29399.1 10000 -144.019 -6.87729 144.019
2.508e-05 700.287 -29272.1 10000 -141.995 -8.80178 141.995
2.509e-05 841.103 -29114.4 10000 -139.831 -10.7236 139.831
2.51e-05 979.679 -28925.9 10000 -137.531 -12.6406 137.531
2.511e-05 1115.88 -28706.8 10000 -135.098 -14.5508 135.098
2.512e-05 1249.58 -28457.3 10000 -132.537 -16.452 132.537
2.513e-05 1380.65 -28177.4 10000 -129.852 -18.3422 129.852
2.514e-05 1508.97 -27867.4 10000 -127.046 -20.2192 127.046
2.515e-05 1634.42 -27527.5 10000 -124.125 -22.0811 124.125
2.516e-05 1756.89 -27157.9 10000 -121.092 -23.9257 121.092
2.517e-05 1876.26 -26759 10000 -117.953 -25.7511 117.953
2.518e-05 1992.44 -26331.1 10000 -114.711 -27.5551 114.711
2.519e-05 2105.32 -25874.5 10000 -111.372 -29.3358 111.372
2.52e-05 2214.81 -25389.7 10000 -107.94 -31.0911 107.94
2.521e-05 2320.83 -24876.9 10000 -104.42 -32.8192 104.42
2.522e-05 2423.27 -24336.9 10000 -100.817 -34.518 100.817
2.523e-05 2522.07 -23769.8 10000 -97.1366 -36.1856 97.1366
2.524e-05 2617.15 -23176.4 10000 -93.3829 -37.8202 93.3829
2.525e-05 2708.43 -22557.2 10000 -89.5614 -39.4199 89.5614
2.526e-05 2795.86 -21912.7 10000 -85.6772 -40.9828 85.6772
2.527e-05 2879.38 -21243.5 10000 -81.7356 -42.5071 81.7356
2.528e-05 2958.92 -20550.3 10000 -77.7416 -43.9912 77.7416
2.529e-05 3034.44 -19833.7 10000 -73.7007 -45.4332 73.7007
2.53e-05 3105.9 -19094.4 10000 -69.6179 -46.8316 69.6179
2.531e-05 3173.26 -18333.1 10000 -65.4987 -48.1846 65.4987
2.532e-05 3236.48 -17550.6 10000 -61.3482 -49.4908 61.3482
2.533e-05 3295.53 -16747.6 10000 -57.1717 -50.7485 57.1717
2.534e-05 3350.39 -15924.9 10000 -52.9745 -51.9562 52.9745
2.535e-05 3401.05 -15083.4 10000 -48.7617 -53.1126 48.7617
2.536e-05 3447.49 -14223.8 10000 -44.5387 -54.2163 44.5387
2.537e-05 3489.7 -13347 10000 -40.3106 -55.2658 40.3106
2.538e-05 3527.69 -12453.9 10000 -36.0826 -56.26 36.0826
2.539e-05 3561.45 -11545.5 10000 -31.8597 -57.1976 31.8597
2.54e-05 3590.99 -10622.5 10000 -27.647 -58.0774 27.647
2.541e-05 3616.33 -9685.94 10000 -23.4495 -58.8985 23.4495
2.542e-05 3637.48 -8736.78 10000 -19.2722 -59.6596 19.2722
2.543e-05 3654.46 -7775.99 10000 -15.1199 -60.3599 15.1199
2.544e-05 3667.31 -6804.53 10000 -10.9975 -60.9984 10.9975
2.545e-05 3676.06 -5823.4 10000 -6.90961 -61.5743 6.90961
2.546e-05 3680.74 -4833.62 10000 -2.86097 -62.0868 2.86097
2.547e-05 3681.39 -3836.2 10000 1.1439 -62.5352 -1.1439
2.548e-05 3678.07 -2832.18 10000 5.10052 -62.9188 -5.10052
2.549e-05 3670.82 -1822.59 10000 9.00454 -63.2371 -9.00454
2.55e-05 3659.69 -808.485 10000 12.8517 -63.4896 -12.8517
2.551e-05 3644.75 209.076 10000 16.6378 -63.6759 -16.6378
2.552e-05 3626.06 1229.03 10000 20.3589 -63.7955 -20.3589
2.553e-05 3603.69 2250.31 10000 24.011 -63.8483 -24.011
2.554e-05 3577.7 3271.85 10000 27.5903 -63.8339 -27.5903
2.555e-05 3548.18 4292.56 10000 31.0931 -63.7522 -31.0931
2.556e-05 3515.2 5311.37 10000 34.516 -63.6032 -34.516
2.557e-05 3478.84 6327.21 10000 37.8554 -63.3868 -37.8554
2.558e-05 3439.19 7338.99 10000 41.1081 -63.1032 -41.1081
2.559e-05 3396.33 8345.64 10000 44.271 -62.7525 -44.271
2.56e-05 3350.36 9346.1 10000 47.3411 -62.3349 -47.3411
2.561e-05 3301.38 10339.3 10000 50.3155 -61.8506 -50.3155
2.562e-05 3249.47 11324.1 10000 53.1915 -61.3002 -53.1915
2.563e-05 3194.75 12299.6 10000 55.9666 -60.684 -55.9666
2.564e-05 3137.3 13264.6 10000 58.6384 -60.0025 -58.6384
2.565e-05 3077.24 14218.2 10000 61.2047 -59.2563 -61.2047
2.566e-05 3014.68 15159.2 10000 63.6633 -58.4461 -63.6633
2.567e-05 2949.71 16086.8 10000 66.0123 -57.5725 -66.0123
2.568e-05 2882.46 16999.8 10000 68.2501 -56.6365 -68.2501
2.569e-05 2813.03 17897.3 10000 70.3749 -55.6389 -70.3749
2.57e-05 2741.54 18778.3 10000 72.3855 -54.5806 -72.3855
2.571e-05 2668.11 19641.8 10000 74.2803 -53.4626 -74.2803
2.572e-05 2592.84 20486.9 10000 76.0585 -52.286 -76.0585
2.573e-05 2515.86 21312.7 10000 77.719 -51.0519 -77.719
2.574e-05 2437.28 22118.3 10000 79.261 -49.7616 -79.261
2.575e-05 2357.23 22902.7 10000 80.684 -48.4163 -80.684
2.576e-05 2275.82 23665.1 10000 81.9875 -47.0173 -81.9875
2.577e-05 2193.17 24404.7 10000 83.1711 -45.5661 -83.1711
2.578e-05 2109.4 25120.6 10000 84.2348 -44.064 -84.2348
2.579e-05 2024.64 25812 10000 85.1787 -42.5126 -85.1787
2.58e-05 1938.99 26478.2 10000 86.0028 -40.9135 -86.0028
2.581e-05 1852.59 27118.4 10000 86.7076 -39.2682 -86.7076
2.582e-05 1765.56 27731.9 10000 87.2936 -37.5785 -87.2936
2.583e-05 1677.99 28317.9 10000 87.7614 -35.8461 -87.7614
2.584e-05 1590.03 28875.9 10000 88.1118 -34.0727 -88.1118
2.585e-05 1501.78 29405.2 10000 88.3459 -32.2602 -88.3459
2.586e-05 1413.36 29905.1 10000 88.4648 -30.4104 -88.4648
2.587e-05 1324.88 30375.1 10000 88.4697 -28.5252 -88.4697
2.588e-05 1236.46 30814.7 10000 88.3621 -26.6066 -88.3621
2.589e-05 1148.21 31223.3 10000 88.1434 -24.6566 -88.1434
2.59e-05 1060.24 31600.4 10000 87.8155 -22.6773 -87.8155
2.591e-05 972.655 31945.6 10000 87.3801 -20.6706 -87.3801
2.592e-05 885.564 32258.5 10000 86.8392 -18.6387 -86.8392
2.593e-05 799.071 32538.7 10000 86.1948 -16.5837 -86.1948
2.594e-05 713.278 32785.8 10000 85.4492 -14.5077 -85.4492
2.595e-05 628.285 32999.5 10000 84.6047 -12.413 -84.6047
2.596e-05 544.19 33179.5 10000 83.6638 -10.3018 -83.6638
2.597e-05 461.088 33325.7 10000 82.629 -8.1762 -82.629
2.598e-05 379.071 33437.7 10000 81.503 -6.03856 -81.503
2.599e-05 298.228 33515.4 10000 80.2885 -3.8911 -80.2885
2.6e-05 218.648 33558.7 10000 78.9885 -1.73611 -78.9885
2.601e-05 140.413 33567.5 10000 77.6058 0.424124 -77.6058
2.602e-05 63.6054 33541.7 10000 76.1435 2.58731 -76.1435
2.603e-05 -11.6979 33481.2 10000 74.6048 4.75113 -74.6048
2.604e-05 -85.422 33386.2 10000 72.9928 6.91329 -72.9928
2.605e-05 -157.495 33256.6 10000 71.3109 9.07148 -71.3109
2.606e-05 -227.85 33092.5 10000 69.5623 11.2234 -69.5623
2.607e-05 -296.421 32894 10000 67.7506 13.3667 -67.7506
2.608e-05 -363.147 32661.4 10000 65.8792 15.4991 -65.8792
2.609e-05 -427.971 32394.7 10000 63.9516 17.6184 -63.9516
2.61e-05 -490.837 32094.3 10000 61.9714 19.7221 -61.9714
2.611e-05 -551.696 31760.4 10000 59.9422 21.8082 -59.9422
2.612e-05 -610.501 31393.2 10000 57.8677 23.8743 -57.8677
2.613e-05 -667.208 30993.2 10000 55.7516 25.9182 -55.7516
2.614e-05 -721.778 30560.7 10000 53.5975 27.9377 -53.5975
2.615e-05 -774.175 30096.2 10000 51.4092 29.9306 -51.4092
2.616e-05 -824.366 29599.9 10000 49.1905 31.8947 -49.1905
2.617e-05 -872.324 29072.6 10000 46.9451 33.828 -46.9451
2.618e-05 -918.023 28514.6 10000 44.6768 35.7283 -44.6768
2.619e-05 -961.443 27926.4 10000 42.3893 37.5935 -42.3893
2.62e-05 -1002.57 27308.8 10000 40.0864 39.4216 -40.0864
2.621e-05 -1041.38 26662.3 10000 37.7718 41.2107 -37.7718
2.622e-05 -1077.88 25987.5 10000 35.4492 42.9587 -35.4492
2.623e-05 -1112.05 25285.1 10000 33.1225 44.6638 -33.1225
2.624e-05 -1143.89 24555.8 10000 30.7951 46.3241 -30.7951
2.625e-05 -1173.4 23800.3 10000 28.4708 47.9378 -28.4708
2.626e-05 -1200.6 23019.5 10000 26.1532 49.5031 -26.1532
2.627e-05 -1225.48 22214 10000 23.8458 51.0183 -23.8458
2.628e-05 -1248.07 21384.8 10000 21.5522 52.4817 -21.5522
2.629e-05 -1268.36 20532.6 10000 19.2757 53.8917 -19.2757
2.63e-05 -1286.4 19658.3 10000 17.0198 55.2467 -17.0198
2.631e-05 -1302.19 18762.9 10000 14.7879 56.5453 -14.7879
2.632e-05 -1315.76 17847.2 10000 12.5831 57.786 -12.5831
2.633e-05 -1327.15 16912.1 10000 10.4087 58.9674 -10.4087
2.634e-05 -1336.37 15958.7 10000 8.26786 60.0883 -8.26786
2.635e-05 -1343.48 14987.9 10000 6.16354 61.1473 -6.16354
2.636e-05 -1348.51 14000.7 10000 4.09871 62.1433 -4.09871
2.637e-05 -1351.49 12998.1 10000 2.07626 63.0751 -2.07626
2.638e-05 -1352.47 11981.2 10000 0.0989537 63.9417 -0.0989537
2.639e-05 -1351.51 10951 10000 -1.83053 64.7422 1.83053
2.64e-05 -1348.64 9908.56 10000 -3.7096 65.4756 3.7096
2.641e-05 -1343.92 8855 10000 -5.5358 66.141 5.5358
2.642e-05 -1337.41 7791.4 10000 -7.30673 66.7378 7.30673
2.643e-05 -1329.15 6718.86 10000 -9.02014 67.2652 9.02014
2.644e-05 -1319.22 5638.5 10000 -10.6739 67.7225 10.6739
2.645e-05 -1307.66 4551.45 10000 -12.2659 68.1094 12.2659
2.646e-05 -1294.55 3458.82 10000 -13.7943 68.4252 13.7943
2.647e-05 -1279.95 2361.77 10000 -15.2573 68.6697 15.2573
2.648e-05 -1263.92 1261.44 10000 -16.6531 68.8424 16.6531
2.649e-05 -1246.53 158.983 10000 -17.9802 68.9432 17.9802
