t 1 2 3 4 5 6 7 jL1 8 jL2 9 jE11 jO1 jV1 
1.18 -0.920866 -2.7626 1.86624 0.900551 -1.27905 -0.920866 0 0 0 -0 -3.7626 2.18266 2.5581 -1.63723 
1.2 -0.927659 -2.78298 1.86624 0.900551 -1.26729 -0.927659 0 0 0 -0 -3.78298 2.18266 2.53458 -1.60692 
1.22 -0.934078 -2.80223 1.86624 0.900551 -1.25503 -0.934078 0 0 0 -0 -3.80223 2.18266 2.51005 -1.57598 
1.24 -0.940121 -2.82036 1.86624 0.900551 -1.24227 -0.940121 0 0 0 -0 -3.82036 2.18266 2.48453 -1.54441 
1.26 -0.945786 -2.83736 1.86624 0.900551 -1.22902 -0.945786 0 0 0 -0 -3.83736 2.18266 2.45803 -1.51225 
1.28 -0.95107 -2.85321 1.86624 0.900551 -1.21528 -0.95107 0 0 0 -0 -3.85321 2.18266 2.43056 -1.47949 
1.3 -0.955971 -2.86791 1.86624 0.900551 -1.20106 -0.955971 0 0 0 -0 -3.86791 2.18266 2.40212 -1.44615 
1.32 -0.960489 -2.88147 1.86624 0.900551 -1.18637 -0.960489 0 0 0 -0 -3.88147 2.18266 2.37274 -1.41225 
1.34 -0.964621 -2.89386 1.86624 0.900551 -1.17121 -0.964621 0 0 0 -0 -3.89386 2.18266 2.34242 -1.3778 
1.36 -0.968365 -2.9051 1.86624 0.900551 -1.15559 -0.968365 0 0 0 -0 -3.9051 2.18266 2.31117 -1.34281 
1.38 -0.971721 -2.91516 1.86624 0.900551 -1.13951 -0.971721 0 0 0 -0 -3.91516 2.18266 2.27901 -1.30729 
1.4 -0.974687 -2.92406 1.86624 0.900551 -1.12298 -0.974687 0 0 0 -0 -3.92406 2.18266 2.24596 -1.27127 
1.42 -0.977262 -2.93179 1.86624 0.900551 -1.10601 -0.977262 0 0 0 -0 -3.93179 2.18266 2.21202 -1.23476 
1.44 -0.979445 -2.93833 1.86624 0.900551 -1.0886 -0.979445 0 0 0 -0 -3.93833 2.18266 2.17721 -1.19776 
1.46 -0.981236 -2.94371 1.86624 0.900551 -1.07077 -0.981236 0 0 0 -0 -3.94371 2.18266 2.14154 -1.1603 
1.48 -0.982633 -2.9479 1.86624 0.900551 -1.05251 -0.982633 0 0 0 -0 -3.9479 2.18266 2.10503 -1.12239 
1.5 -0.983637 -2.95091 1.86624 0.900551 -1.03385 -0.983637 0 0 0 -0 -3.95091 2.18266 2.06769 -1.08405 
1.52 -0.984248 -2.95274 1.86624 0.900551 -1.01477 -0.984248 0 0 0 -0 -3.95274 2.18266 2.02954 -1.04529 
1.54 -0.984465 -2.95339 1.86624 0.900551 -0.995298 -0.984465 0 0 0 -0 -3.95339 2.18266 1.9906 -1.00613 
1.56 -0.984287 -2.95286 1.86624 0.900551 -0.975435 -0.984287 0 0 0 -0 -3.95286 2.18266 1.95087 -0.966583 
1.58 -0.983717 -2.95115 1.86624 0.900551 -0.955191 -0.983717 0 0 0 -0 -3.95115 2.18266 1.91038 -0.926664 
1.6 -0.982753 -2.94826 1.86624 0.900551 -0.934572 -0.982753 0 0 0 -0 -3.94826 2.18266 1.86914 -0.886391 
1.62 -0.981397 -2.94419 1.86624 0.900551 -0.913588 -0.981397 0 0 0 -0 -3.94419 2.18266 1.82718 -0.845778 
1.64 -0.979649 -2.93895 1.86624 0.900551 -0.892247 -0.979649 0 0 0 -0 -3.93895 2.18266 1.78449 -0.804844 
1.66 -0.97751 -2.93253 1.86624 0.900551 -0.870558 -0.97751 0 0 0 -0 -3.93253 2.18266 1.74112 -0.763605 
1.68 -0.974981 -2.92494 1.86624 0.900551 -0.848529 -0.974981 0 0 0 -0 -3.92494 2.18266 1.69706 -0.722077 
1.7 -0.972063 -2.91619 1.86624 0.900551 -0.82617 -0.972063 0 0 0 -0 -3.91619 2.18266 1.65234 -0.680276 
1.72 -0.968758 -2.90627 1.86624 0.900551 -0.803489 -0.968758 0 0 0 -0 -3.90627 2.18266 1.60698 -0.638221 
1.74 -0.965066 -2.8952 1.86624 0.900551 -0.780496 -0.965066 0 0 0 -0 -3.8952 2.18266 1.56099 -0.595927 
1.76 -0.960991 -2.88297 1.86624 0.900551 -0.757201 -0.960991 0 0 0 -0 -3.88297 2.18266 1.5144 -0.553411 
1.78 -0.956532 -2.8696 1.86624 0.900551 -0.733612 -0.956532 0 0 0 -0 -3.8696 2.18266 1.46722 -0.510691 
1.8 -0.951693 -2.85508 1.86624 0.900551 -0.709739 -0.951693 0 0 0 -0 -3.85508 2.18266 1.41948 -0.467785 
1.82 -0.946475 -2.83943 1.86624 0.900551 -0.685592 -0.946475 0 0 0 -0 -3.83943 2.18266 1.37118 -0.424708 
1.84 -0.940881 -2.82264 1.86624 0.900551 -0.66118 -0.940881 0 0 0 -0 -3.82264 2.18266 1.32236 -0.381479 
1.86 -0.934913 -2.80474 1.86624 0.900551 -0.636514 -0.934913 0 0 0 -0 -3.80474 2.18266 1.27303 -0.338114 
1.88 -0.928574 -2.78572 1.86624 0.900551 -0.611603 -0.928574 0 0 0 -0 -3.78572 2.18266 1.22321 -0.294632 
1.9 -0.921866 -2.7656 1.86624 0.900551 -0.586457 -0.921866 0 0 0 -0 -3.7656 2.18266 1.17291 -0.251049 
1.92 -0.914792 -2.74438 1.86624 0.900551 -0.561087 -0.914792 0 0 0 -0 -3.74438 2.18266 1.12217 -0.207383 
1.94 -0.907355 -2.72206 1.86624 0.900551 -0.535503 -0.907355 0 0 0 -0 -3.72206 2.18266 1.07101 -0.163652 
1.96 -0.899558 -2.69867 1.86624 0.900551 -0.509715 -0.899558 0 0 0 -0 -3.69867 2.18266 1.01943 -0.119873 
1.98 -0.891404 -2.67421 1.86624 0.900551 -0.483734 -0.891404 0 0 0 -0 -3.67421 2.18266 0.967468 -0.0760633 
2 -0.882898 -2.64869 1.86624 0.900551 -0.457569 -0.882898 0 0 0 -0 -3.64869 2.18266 0.915139 -0.0322408 
2.02 -0.874042 -2.62212 1.86624 0.900551 -0.431232 -0.874042 0 0 0 0 -3.62212 2.18266 0.862465 0.0115771 
2.04 -0.86484 -2.59452 1.86624 0.900551 -0.404733 -0.86484 0 0 0 0 -3.59452 2.18266 0.809467 0.0553728 
2.06 -0.855295 -2.56589 1.86624 0.900551 -0.378083 -0.855295 0 0 0 0 -3.56589 2.18266 0.756166 0.0991288 
