t 1 2 3 4 5 jL0400 6 7 jE0201 jF0507 jVX jV0600 
1.67 0 2.04992 0 -0.188636 2.04992 1.82694 1 0 -2.04992 2.04992 -1.12192 -0.705022 
1.68 0 2.04768 -2.27338e-016 -0.194957 2.04768 1.825 1 0 -2.04768 2.04768 -1.12348 -0.701514 
1.69 0 2.04542 0 -0.201236 2.04542 1.82298 1 0 -2.04542 2.04542 -1.125 -0.697988 
1.7 0 2.04314 -2.26834e-016 -0.207474 2.04314 1.82091 1 0 -2.04314 2.04314 -1.12646 -0.694444 
1.71 0 2.04084 0 -0.21367 2.04084 1.81877 1 0 -2.04084 2.04084 -1.12789 -0.690883 
1.72 0 2.03852 -2.26321e-016 -0.219823 2.03852 1.81657 1 0 -2.03852 2.03852 -1.12927 -0.687306 
1.73 0 2.03617 0 -0.225934 2.03617 1.81431 1 0 -2.03617 2.03617 -1.1306 -0.683716 
1.74 0 2.03381 0 -0.232001 2.03381 1.81199 1 0 -2.03381 2.03381 -1.13188 -0.680112 
1.75 0 2.03142 -2.25533e-016 -0.238026 2.03142 1.80961 1 0 -2.03142 2.03142 -1.13312 -0.676497 
1.76 0 2.02901 0 -0.244007 2.02901 1.80717 1 0 -2.02901 2.02901 -1.1343 -0.672871 
1.77 0 2.02657 0 -0.249945 2.02657 1.80467 1 0 -2.02657 2.02657 -1.13544 -0.669236 
1.78 0 2.02412 0 -0.255839 2.02412 1.80212 1 0 -2.02412 2.02412 -1.13652 -0.665592 
1.79 0 2.02163 0 -0.261688 2.02163 1.7995 1 0 -2.02163 2.02163 -1.13756 -0.661943 
1.8 0 2.01912 0 -0.267494 2.01912 1.79682 1 0 -2.01912 2.01912 -1.13854 -0.658287 
1.81 0 2.01659 0 -0.273255 2.01659 1.79409 1 0 -2.01659 2.01659 -1.13946 -0.654629 
1.82 0 2.01403 0 -0.278971 2.01403 1.7913 1 -2.22045e-016 -2.01403 2.01403 -1.14033 -0.650967 
1.83 0 2.01144 0 -0.284642 2.01144 1.78846 1 -2.22045e-016 -2.01144 2.01144 -1.14115 -0.647305 
1.84 0 2.00883 0 -0.290268 2.00883 1.78555 1 2.22045e-016 -2.00883 2.00883 -1.14191 -0.643644 
1.85 0 2.00619 0 -0.295849 2.00619 1.78259 1 -2.22045e-016 -2.00619 2.00619 -1.14261 -0.639983 
1.86 0 2.00352 0 -0.301385 2.00352 1.77958 1 0 -2.00352 2.00352 -1.14325 -0.636328 
1.87 0 2.00082 4.44272e-016 -0.306875 2.00082 1.77651 1 0 -2.00082 2.00082 -1.14384 -0.632676 
1.88 0 1.99809 0 -0.31232 1.99809 1.77339 1 0 -1.99809 1.99809 -1.14436 -0.629032 
1.89 0 1.99533 0 -0.317718 1.99533 1.77021 1 0 -1.99533 1.99533 -1.14482 -0.625395 
1.9 0 1.99254 0 -0.323071 1.99254 1.76698 1 0 -1.99254 1.99254 -1.14521 -0.621768 
1.91 0 1.98972 0 -0.328378 1.98972 1.7637 1 0 -1.98972 1.98972 -1.14554 -0.618155 
1.92 0 1.98687 0 -0.333638 1.98687 1.76036 1 0 -1.98687 1.98687 -1.14581 -0.614554 
1.93 0 1.98398 0 -0.338852 1.98398 1.75697 1 0 -1.98398 1.98398 -1.146 -0.610967 
1.94 0 1.98105 0 -0.34402 1.98105 1.75353 1 0 -1.98105 1.98105 -1.14613 -0.6074 
1.95 0 1.9781 0 -0.349142 1.9781 1.75004 1 0 -1.9781 1.9781 -1.14619 -0.60385 
1.96 0 1.9751 0 -0.354217 1.9751 1.7465 1 0 -1.9751 1.9751 -1.14618 -0.600321 
1.97 0 1.97207 0 -0.359245 1.97207 1.74291 1 0 -1.97207 1.97207 -1.14609 -0.596815 
1.98 0 1.969 0 -0.364227 1.969 1.73926 1 0 -1.969 1.969 -1.14593 -0.593336 
1.99 0 1.96589 -2.18258e-016 -0.369162 1.96589 1.73557 1 0 -1.96589 1.96589 -1.14569 -0.589882 
2 0 1.96274 0 -0.374051 1.96274 1.73183 1 0 -1.96274 1.96274 -1.14537 -0.586458 
2.01 0 1.95956 -2.17554e-016 -0.378893 1.95956 1.72804 1 0 -1.95956 1.95956 -1.14498 -0.583066 
2.02 0 1.95632 0 -0.383688 1.95632 1.72421 1 0 -1.95632 1.95632 -1.1445 -0.579707 
2.03 0 1.95305 0 -0.388436 1.95305 1.72032 1 0 -1.95305 1.95305 -1.14394 -0.576385 
2.04 0 1.94973 0 -0.393138 1.94973 1.71639 1 0 -1.94973 1.94973 -1.14329 -0.573099 
2.05 0 1.94636 -2.1609e-016 -0.397793 1.94636 1.71241 1 0 -1.94636 1.94636 -1.14256 -0.569856 
2.06 0 1.94295 0 -0.402402 1.94295 1.70839 1 0 -1.94295 1.94295 -1.14173 -0.566656 
2.07 0 1.93949 0 -0.406964 1.93949 1.70432 1 0 -1.93949 1.93949 -1.14082 -0.563503 
2.08 0 1.93598 0 -0.41148 1.93598 1.7002 1 0 -1.93598 1.93598 -1.13981 -0.560398 
2.09 0 1.93242 0 -0.415949 1.93242 1.69604 1 0 -1.93242 1.93242 -1.1387 -0.557344 
2.1 0 1.9288 0 -0.420372 1.9288 1.69184 1 0 -1.9288 1.9288 -1.13749 -0.554346 
2.11 0 1.92513 0 -0.424748 1.92513 1.68759 1 0 -1.92513 1.92513 -1.13619 -0.551404 
2.12 0 1.92141 0 -0.429079 1.92141 1.6833 1 0 -1.92141 1.92141 -1.13478 -0.548521 
2.13 0 1.91762 -2.12899e-016 -0.433363 1.91762 1.67897 1 0 -1.91762 1.91762 -1.13327 -0.545702 
2.14 0 1.91378 0 -0.437602 1.91378 1.67459 1 0 -1.91378 1.91378 -1.13164 -0.542949 
2.15 0 1.90988 0 -0.441794 1.90988 1.67017 1 0 -1.90988 1.90988 -1.12991 -0.540266 
2.16 0 1.90591 0 -0.445942 1.90591 1.66571 1 0 -1.90591 1.90591 -1.12806 -0.537656 
2.17 0 1.90188 -2.11151e-016 -0.450044 1.90188 1.66121 1 0 -1.90188 1.90188 -1.12609 -0.535122 
2.18 0 1.89779 0 -0.4541 1.89779 1.65667 1 0 -1.89779 1.89779 -1.12401 -0.532667 
2.19 0 1.89362 0 -0.458112 1.89362 1.65209 1 0 -1.89362 1.89362 -1.1218 -0.530295 
2.2 0 1.88939 -2.09764e-016 -0.462079 1.88939 1.64747 1 0 -1.88939 1.88939 -1.11946 -0.52801 
2.21 0 1.88508 0 -0.466001 1.88508 1.64281 1 0 -1.88508 1.88508 -1.117 -0.525816 
2.22 0 1.88069 -2.08799e-016 -0.469879 1.88069 1.63811 1 0 -1.88069 1.88069 -1.1144 -0.523716 
2.23 0 1.87623 0 -0.473713 1.87623 1.63338 1 0 -1.87623 1.87623 -1.11166 -0.521713 
2.24 0 1.87169 0 -0.477504 1.87169 1.6286 1 0 -1.87169 1.87169 -1.10879 -0.519813 
2.25 0 1.86707 4.14572e-016 -0.481251 1.86707 1.62379 1 5.55112e-017 -1.86707 1.86707 -1.10577 -0.518019 
2.26 0 1.86236 0 -0.484954 1.86236 1.61894 1 0 -1.86236 1.86236 -1.1026 -0.516335 
2.27 0 1.85756 0 -0.488615 1.85756 1.61405 1 0 -1.85756 1.85756 -1.09929 -0.514765 
2.28 0 1.85267 0 -0.492233 1.85267 1.60913 1 0 -1.85267 1.85267 -1.09582 -0.513314 
2.29 0 1.8477 0 -0.49581 1.8477 1.60417 1 0 -1.8477 1.8477 -1.09219 -0.511985 
2.3 0 1.84262 0 -0.499344 1.84262 1.59918 1 0 -1.84262 1.84262 -1.0884 -0.510783 
2.31 0 1.83745 0 -0.502837 1.83745 1.59415 1 0 -1.83745 1.83745 -1.08444 -0.509713 
2.32 0 1.83217 0 -0.50629 1.83217 1.58909 1 0 -1.83217 1.83217 -1.08031 -0.508778 
2.33 0 1.82679 -2.02814e-016 -0.509701 1.82679 1.58399 1 -5.55112e-017 -1.82679 1.82679 -1.07601 -0.507983 
2.34 0 1.8213 0 -0.513073 1.8213 1.57886 1 5.55112e-017 -1.8213 1.8213 -1.07153 -0.507332 
2.35 0 1.8157 0 -0.516405 1.8157 1.5737 1 0 -1.8157 1.8157 -1.06686 -0.506831 
2.36 0 1.80998 0 -0.519698 1.80998 1.5685 1 -5.55112e-017 -1.80998 1.80998 -1.06202 -0.506482 
2.37 0 1.80415 0 -0.522953 1.80415 1.56327 1 0 -1.80415 1.80415 -1.05698 -0.50629 
2.38 0 1.7982 0 -0.526169 1.7982 1.55801 1 0 -1.7982 1.7982 -1.05175 -0.506259 
2.39 0 1.79211 0 -0.529348 1.79211 1.55271 1 0 -1.79211 1.79211 -1.04632 -0.506394 
2.4 0 1.78591 -1.98275e-016 -0.53249 1.78591 1.54739 1 0 -1.78591 1.78591 -1.04069 -0.506698 
2.41 0 1.77956 0 -0.535596 1.77956 1.54203 1 0 -1.77956 1.77956 -1.03486 -0.507175 
