t 1 2 3 jV0200 jV0300 
0.0012 5.41337 -0.587785 0.998027 0 0 
0.001205 5.33975 -0.661312 0.998402 0 0 
0.00121 5.27195 -0.728969 0.998737 0 0 
0.001215 5.21061 -0.790155 0.999033 0 0 
0.00122 5.15627 -0.844328 0.999289 0 0 
0.001225 5.10943 -0.891007 0.999507 0 0 
0.00123 5.07052 -0.929776 0.999684 0 0 
0.001235 5.03988 -0.960294 0.999822 0 0 
0.00124 5.01779 -0.982287 0.999921 0 0 
0.001245 5.00446 -0.995562 0.99998 0 0 
0.00125 5 -1 1 0 0 
0.001255 5.00446 -0.995562 0.99998 0 0 
0.00126 5.01779 -0.982287 0.999921 0 0 
0.001265 5.03988 -0.960294 0.999822 0 0 
0.00127 5.07052 -0.929776 0.999684 0 0 
0.001275 5.10943 -0.891007 0.999507 0 0 
0.00128 5.15627 -0.844328 0.999289 0 0 
0.001285 5.21061 -0.790155 0.999033 0 0 
0.00129 5.27195 -0.728969 0.998737 0 0 
0.001295 5.33975 -0.661312 0.998402 0 0 
0.0013 5.41337 -0.587785 0.998027 0 0 
0.001305 5.49217 -0.509041 0.997613 0 0 
0.00131 5.57543 -0.425779 0.997159 0 0 
0.001315 5.66239 -0.338738 0.996666 0 0 
0.00132 5.75227 -0.24869 0.996134 0 0 
0.001325 5.84426 -0.156434 0.995562 0 0 
0.00133 5.93753 -0.0627905 0.994951 0 0 
0.001335 6.03123 0.0314108 0.994301 0 0 
0.00134 6.12453 0.125333 0.993611 0 0 
0.001345 6.21659 0.218143 0.992883 0 0 
0.00135 6.30658 0.309017 0.992115 0 0 
0.001355 6.3937 0.397148 0.991308 0 0 
0.00136 6.47716 0.481754 0.990461 0 0 
0.001365 6.55622 0.562083 0.989576 0 0 
0.00137 6.63019 0.637424 0.988652 0 0 
0.001375 6.6984 0.707107 0.987688 0 0 
0.00138 6.76025 0.770513 0.986686 0 0 
0.001385 6.81521 0.827081 0.985645 0 0 
0.00139 6.86278 0.876307 0.984564 0 0 
0.001395 6.90256 0.917755 0.983445 0 0 
0.0014 6.93421 0.951057 0.982287 0 0 
0.001405 6.95746 0.975917 0.981091 0 0 
0.00141 6.97213 0.992115 0.979855 0 0 
0.001415 6.9781 0.999507 0.978581 0 0 
0.00142 6.97534 0.998027 0.977268 0 0 
0.001425 6.9639 0.987688 0.975917 0 0 
0.00143 6.94391 0.968583 0.974527 0 0 
0.001435 6.91557 0.940881 0.973099 0 0 
0.00144 6.87916 0.904827 0.971632 0 0 
0.001445 6.83503 0.860742 0.970127 0 0 
0.00145 6.7836 0.809017 0.968583 0 0 
0.001455 6.72536 0.750111 0.967001 0 0 
0.00146 6.66085 0.684547 0.965382 0 0 
0.001465 6.59067 0.612907 0.963724 0 0 
0.00147 6.51548 0.535827 0.962028 0 0 
0.001475 6.43596 0.45399 0.960294 0 0 
0.00148 6.35286 0.368125 0.958522 0 0 
0.001485 6.26691 0.278991 0.956712 0 0 
0.00149 6.17892 0.187381 0.954865 0 0 
0.001495 6.08968 0.0941083 0.952979 0 0 
0.0015 6 -6.28467e-014 0.951057 0 0 
0.001505 5.91068 -0.0941083 0.949096 0 0 
0.00151 5.82253 -0.187381 0.947098 0 0 
0.001515 5.73634 -0.278991 0.945063 0 0 
0.00152 5.65286 -0.368125 0.942991 0 0 
0.001525 5.57285 -0.45399 0.940881 0 0 
0.00153 5.497 -0.535827 0.938734 0 0 
0.001535 5.42598 -0.612907 0.93655 0 0 
0.00154 5.36041 -0.684547 0.934329 0 0 
0.001545 5.30084 -0.750111 0.932071 0 0 
0.00155 5.2478 -0.809017 0.929776 0 0 
0.001555 5.20171 -0.860742 0.927445 0 0 
0.00156 5.16297 -0.904827 0.925077 0 0 
0.001565 5.13187 -0.940881 0.922673 0 0 
0.00157 5.10868 -0.968583 0.920232 0 0 
0.001575 5.09354 -0.987688 0.917755 0 0 
0.00158 5.08656 -0.998027 0.915241 0 0 
0.001585 5.08776 -0.999507 0.912692 0 0 
0.00159 5.09707 -0.992115 0.910106 0 0 
0.001595 5.11437 -0.975917 0.907484 0 0 
0.0016 5.13946 -0.951057 0.904827 0 0 
0.001605 5.17206 -0.917755 0.902134 0 0 
0.00161 5.21185 -0.876307 0.899405 0 0 
0.001615 5.25841 -0.827081 0.896641 0 0 
0.00162 5.31128 -0.770513 0.893841 0 0 
0.001625 5.36996 -0.707107 0.891007 0 0 
0.00163 5.43388 -0.637424 0.888136 0 0 
0.001635 5.50243 -0.562083 0.885231 0 0 
0.00164 5.57495 -0.481754 0.882291 0 0 
0.001645 5.65078 -0.397148 0.879316 0 0 
0.00165 5.72921 -0.309017 0.876307 0 0 
0.001655 5.8095 -0.218143 0.873262 0 0 
0.00166 5.89094 -0.125333 0.870184 0 0 
0.001665 5.97276 -0.0314108 0.867071 0 0 
0.00167 6.05425 0.0627905 0.863923 0 0 
0.001675 6.13465 0.156434 0.860742 0 0 
0.00168 6.21326 0.24869 0.857527 0 0 
0.001685 6.28938 0.338738 0.854277 0 0 
0.00169 6.36234 0.425779 0.850994 0 0 
0.001695 6.4315 0.509041 0.847678 0 0 
0.0017 6.49628 0.587785 0.844328 0 0 
0.001705 6.55613 0.661312 0.840945 0 0 
0.00171 6.61053 0.728969 0.837528 0 0 
0.001715 6.65905 0.790155 0.834078 0 0 
0.00172 6.7013 0.844328 0.830596 0 0 
0.001725 6.73693 0.891007 0.827081 0 0 
0.00173 6.7657 0.929776 0.823533 0 0 
0.001735 6.78739 0.960294 0.819952 0 0 
