t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
1.17e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.18e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.19e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.2e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.21e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.22e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.23e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.24e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.25e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.26e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.27e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.28e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.29e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.3e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.31e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.32e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.33e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.34e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.35e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.36e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.37e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.38e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.39e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.4e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.41e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.42e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.43e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.44e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.45e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.46e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.47e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.48e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.49e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.5e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.51e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.52e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.53e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.54e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.55e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.56e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.57e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.58e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.59e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.6e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.61e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.62e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.63e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.64e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.65e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.66e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.67e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.68e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.69e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.7e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.71e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.72e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.73e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.74e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.75e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.76e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.77e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.78e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
1.79e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
