t 1 2 3 jL0200 4 5 6 jE0601 jVX jV0400 
1.74 0 -0.232078 2.03378 1.812 1 0 -1.1319 0 -1.1319 -0.680106 
1.75 0 -0.238102 2.03139 1.80962 1 0 -1.13313 0 -1.13313 -0.676491 
1.76 0 -0.244083 2.02898 1.80718 1 0 -1.13432 0 -1.13432 -0.672864 
1.77 0 -0.250021 2.02654 1.80468 1 0 -1.13545 0 -1.13545 -0.669229 
1.78 0 -0.255914 2.02409 1.80212 1 0 -1.13654 0 -1.13654 -0.665586 
1.79 0 -0.261764 2.0216 1.7995 1 0 -1.13757 0 -1.13757 -0.661936 
1.8 0 -0.267569 2.01909 1.79683 1 0 -1.13855 0 -1.13855 -0.658281 
1.81 0 -0.273329 2.01656 1.79409 1 0 -1.13947 0 -1.13947 -0.654622 
1.82 0 -0.279045 2.014 1.7913 1 0 -1.14034 0 -1.14034 -0.65096 
1.83 0 -0.284716 2.01141 1.78846 1 0 -1.14116 0 -1.14116 -0.647298 
1.84 0 -0.290343 2.0088 1.78555 1 0 -1.14192 0 -1.14192 -0.643636 
1.85 0 -0.295923 2.00616 1.78259 1 0 -1.14262 0 -1.14262 -0.639976 
1.86 0 -0.301459 2.00349 1.77958 1 0 -1.14326 0 -1.14326 -0.63632 
1.87 0 -0.306949 2.00079 1.77651 1 0 -1.14384 0 -1.14384 -0.632668 
1.88 0 -0.312393 1.99806 1.77339 1 0 -1.14436 0 -1.14436 -0.629024 
1.89 0 -0.317791 1.9953 1.77021 1 0 -1.14482 0 -1.14482 -0.625387 
1.9 0 -0.323144 1.99251 1.76698 1 0 -1.14522 0 -1.14522 -0.621761 
1.91 0 -0.32845 1.98969 1.76369 1 0 -1.14555 0 -1.14555 -0.618147 
1.92 0 -0.33371 1.98683 1.76036 1 0 -1.14581 0 -1.14581 -0.614546 
1.93 0 -0.338924 1.98394 1.75697 1 0 -1.14601 0 -1.14601 -0.61096 
1.94 0 -0.344092 1.98102 1.75352 1 0 -1.14613 0 -1.14613 -0.607392 
1.95 0 -0.349213 1.97806 1.75003 1 0 -1.14619 0 -1.14619 -0.603843 
1.96 0 -0.354288 1.97506 1.74649 1 0 -1.14618 0 -1.14618 -0.600314 
1.97 0 -0.359316 1.97203 1.7429 1 0 -1.14609 0 -1.14609 -0.596809 
1.98 0 -0.364298 1.96896 1.73925 1 0 -1.14592 0 -1.14592 -0.593329 
1.99 0 -0.369233 1.96585 1.73556 1 0 -1.14569 0 -1.14569 -0.589876 
2 0 -0.374121 1.9627 1.73182 1 0 -1.14537 0 -1.14537 -0.586452 
2.01 0 -0.378963 1.95951 1.72803 1 0 -1.14497 0 -1.14497 -0.58306 
2.02 0 -0.383758 1.95628 1.72419 1 0 -1.14449 0 -1.14449 -0.579702 
2.03 0 -0.388506 1.953 1.72031 1 0 -1.14393 0 -1.14393 -0.57638 
2.04 0 -0.393207 1.94968 1.71638 1 0 -1.14328 0 -1.14328 -0.573096 
2.05 0 -0.397862 1.94632 1.7124 1 0 -1.14254 0 -1.14254 -0.569853 
2.06 0 -0.402471 1.9429 1.70837 1 0 -1.14172 0 -1.14172 -0.566654 
2.07 0 -0.407032 1.93944 1.7043 1 0 -1.1408 0 -1.1408 -0.563501 
2.08 0 -0.411548 1.93593 1.70019 1 0 -1.13979 0 -1.13979 -0.560397 
2.09 0 -0.416017 1.93237 1.69603 1 0 -1.13868 0 -1.13868 -0.557344 
2.1 0 -0.420439 1.92875 1.69182 1 0 -1.13748 0 -1.13748 -0.554345 
